,acousticness,album_popularity,artist_followers,artist_popularity,bb_appear,danceability,days_since_release,duration,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_popularity,valence,weeks
128,0.843,,1352898.0,69.0,0,0.6609999999999999,690,196400.0,0.35100000000000003,0,0.0,0,0.104,-8.846,1,0.0274,109.9,4,48.0,0.29100000000000004,0.0
129,0.46799999999999997,70.0,2993129.0,73.0,1,0.623,682,249000.0,0.44,0,0.502,8,0.177,-10.934000000000001,1,0.0327,79.97800000000002,4,54.0,0.511,1.0
130,0.127,,57372.0,54.0,0,0.51,984,163607.0,0.918,1,0.0,6,0.545,-3.666,0,0.293,100.159,5,30.0,0.281,0.0
131,0.36200000000000004,68.0,882292.0,71.0,0,0.586,836,242626.0,0.452,0,0.0009119999999999999,0,0.10400000000000001,-8.481,1,0.0391,90.046,4,50.0,0.122,0.0
132,0.00040300000000000004,59.0,42882.0,59.0,0,0.401,395,166533.0,0.9790000000000001,0,0.0,1,0.25,-1.129,1,0.0698,185.012,4,31.0,0.76,0.0
133,0.213,57.0,1385279.0,69.0,0,0.5720000000000001,535,243733.0,0.518,0,0.000617,10,0.171,-8.552,1,0.0309,130.097,4,45.0,0.623,0.0
134,0.000927,74.0,5509894.0,83.0,0,0.31,311,192533.0,0.905,0,3.1e-05,0,0.431,-4.109,1,0.253,187.796,4,60.0,0.309,0.0
135,0.138,,129452.0,59.0,0,0.794,620,321853.0,0.562,1,0.00225,11,0.159,-7.237999999999999,1,0.125,96.911,4,39.0,0.603,0.0
136,0.142,,1528820.0,79.0,0,0.5760000000000001,382,227711.0,0.6779999999999999,1,0.0902,2,0.219,-5.1389999999999985,1,0.051,163.033,4,55.0,0.461,0.0
137,0.629,24.0,2732.0,19.0,0,0.555,1286,169862.0,0.45299999999999996,0,0.0,3,0.15,-7.869,0,0.0323,138.042,4,13.0,0.133,0.0
138,0.203,,209349.0,59.0,0,0.6729999999999999,949,212906.0,0.838,1,8.8e-06,7,0.105,-5.9220000000000015,1,0.314,168.114,4,48.0,0.872,0.0
139,0.0379,65.0,713256.0,67.0,0,0.857,787,175440.0,0.3720000000000001,1,0.0238,8,0.0878,-11.138,1,0.0472,102.012,4,55.0,0.126,0.0
140,0.0373,65.0,49062.0,57.0,0,0.402,437,202813.0,0.6709999999999999,0,0.0,0,0.113,-3.966,1,0.0321,151.757,4,39.0,0.3670000000000001,0.0
141,0.858,79.0,410666.0,0.0,0,0.57,654,124986.0,0.267,0,3.35e-06,2,0.121,-9.89,1,0.0308,108.04799999999999,3,48.0,0.28300000000000003,0.0
142,0.0009,66.0,1267453.0,71.0,0,0.374,514,317266.0,0.8909999999999999,0,0.000125,8,0.11599999999999999,-4.704,1,0.0534,136.472,4,38.0,0.278,0.0
143,0.0304,,3440809.0,88.0,0,0.631,621,231658.0,0.732,1,0.0,1,0.261,-4.706,1,0.203,151.779,4,58.0,0.5489999999999999,0.0
144,0.0802,,143388.0,68.0,0,0.605,88,235027.0,0.722,0,0.0,10,0.612,-3.864,0,0.14300000000000002,83.905,4,38.0,0.547,0.0
145,0.195,,212954.0,61.0,0,0.733,130,290813.0,0.5489999999999999,0,1e-06,7,0.0595,-5.937,0,0.046,120.033,4,47.0,0.823,0.0
146,0.0159,59.0,824555.0,68.0,0,0.396,1354,243120.0,0.9490000000000001,0,0.000789,2,0.0899,-2.842,1,0.0637,88.435,4,46.0,0.6609999999999999,0.0
147,0.147,72.0,3015787.0,87.0,1,0.73,808,206493.0,0.758,0,0.0,1,0.311,-4.888,1,0.0653,120.041,4,63.0,0.877,26.0
148,0.000462,,34182.0,52.0,0,0.664,955,205076.0,0.8390000000000001,0,0.0267,7,0.337,-7.8820000000000014,1,0.0377,119.968,4,38.0,0.58,0.0
149,0.00633,61.0,544060.0,65.0,0,0.624,451,332386.0,0.742,0,0.00285,11,0.0922,-7.9129999999999985,0,0.0282,112.62799999999999,4,39.0,0.512,0.0
150,0.7859999999999999,93.0,14136507.0,94.0,1,0.688,521,233933.0,0.31,0,0.000974,9,0.102,-10.026,1,0.18,134.005,4,67.0,0.624,1.0
